theme,start,end
Federalism,49809,50045
Annelid,50046,50285
War_on_Terror,50286,50537
Labour_Party_(UK),50538,50727
Estonia,50728,50932
Alaska,50933,51225
Mandolin,51226,51539
Insect,51540,51770
Race_(human_categorization),51771,51991
Paris,51992,52258
Apollo,52259,52371
"United_States_presidential_election,_2004",52372,52556
Liberal_Party_of_Australia,52557,52695
Samurai,52696,52856
Software_testing,52857,53012
States_of_Germany,53013,53203
Glass,53204,53378
Renewable_energy_commercialization,53379,53572
Palermo,53573,53705
Green,53706,53862
Neoclassical_architecture,53863,53994
Serbo-Croatian,53995,54124
CBC_Television,54125,54256
IBM,54257,54442
Energy,54443,54646
East_Prussia,54647,54797
Ottoman_Empire,54798,55013
Philosophy_of_space_and_time,55014,55155
Neolithic,55156,55305
Friedrich_Hayek,55306,55453
Diarrhea,55454,55580
Madrasa,55581,55794
Miami,55795,56101
Philadelphia,56102,56281
John_Kerry,56282,56456
Rajasthan,56457,56628
Guam,56629,56849
Empiricism,56850,57023
Idealism,57024,57222
Czech_language,57223,57408
Education,57409,57592
Tennessee,57593,57764
Canadian_football,57765,57937
Seven_Years%27_War,57938,58156
Cyprus,58157,58327
Steven_Spielberg,58328,58691
Elevator,58692,58849
Railway_electrification_system,58850,59084
Spanish_language_in_the_United_States,59085,59276
"Charleston,_South_Carolina",59277,59619
The_Blitz,59620,59913
Vacuum,59914,60115
Quran,60116,60386
Geography_of_the_United_States,60387,60529
Compact_disc,60530,60679
Modern_history,60680,61013
Flowering_plant,61014,61166
Hyderabad,61167,61345
"Santa_Monica,_California",61346,61497
Pain,61498,61698
Database,61699,61906
"Tucson,_Arizona",61907,62165
Bacteria,62166,62315
Printed_circuit_board,62316,62535
Greeks,62536,62868
Premier_League,62869,63240
Roman_Republic,63241,63514
Pacific_War,63515,63773
San_Diego,63774,64101
Iran,64102,64291
British_Isles,64292,64533
Association_football,64534,64726
Georgian_architecture,64727,64865
Liberia,64866,65010
Alfred_North_Whitehead,65011,65363
Antibiotics,65364,65573
Windows_8,65574,65874
Swaziland,65875,66046
Translation,66047,66243
Airport,66244,66398
Super_Nintendo_Entertainment_System,66399,66556
Sumer,66557,66750
Tuvalu,66751,66955
Namibia,66956,67205
Russian_language,67206,67394
United_States_Air_Force,67395,67558
Light-emitting_diode,67559,67829
Great_power,67830,67964
Bird,67965,68131
Qing_dynasty,68132,68358
Indigenous_peoples_of_the_Americas,68359,68549
Red,68550,68848
Mosaic,68849,69073
University,69074,69284
Religion_in_ancient_Rome,69285,69567
YouTube,69568,69802
Separation_of_church_and_state_in_the_United_States,69803,70074
Bras%C3%ADlia,70075,70232
Economy_of_Greece,70233,70429
Party_leaders_of_the_United_States_House_of_Representatives,70430,70611
Armenians,70612,70788
Jehovah%27s_Witnesses,70789,71093
Dwight_D._Eisenhower,71094,71399
The_Bronx,71400,71581
Financial_crisis_of_2007%E2%80%9308,71582,71860
Portugal,71861,72168
Humanism,72169,72351
Geological_history_of_Earth,72352,72515
Police,72516,72765
Genocide,72766,72963
Saint_Barth%C3%A9lemy,72964,73134
Tajikistan,73135,73353
University_of_Notre_Dame,73354,73551
Anthropology,73552,73802
Montana,73803,73911
"Punjab,_Pakistan",73912,74088
Infection,74089,74288
Hunting,74289,74663
Kathmandu,74664,74857
Myocardial_infarction,74858,74950
Matter,74951,75055
